episode,reward,episode_length,running_reward,switch_rate,max_cart_velocity,max_pole_angle,max_angular_velocity,mean_pole_angle,mean_angular_velocity
52,42.0,42,19.927763951030634,0.5365853658536586,0.80869806,0.20090908,1.3244376,0.060829908,0.5228152
53,15.0,15,19.878486311520327,0.42857142857142855,1.0227468,0.20346457,1.5383564,0.09314907,0.7032932
54,37.0,37,20.049701448405123,0.6111111111111112,0.4250726,0.20179869,1.1012236,0.07908301,0.37006414
55,25.0,25,20.099204433921074,0.5833333333333334,0.9682919,0.2091761,1.3568008,0.0715595,0.6023218
56,82.0,82,20.71821238958186,0.6790123456790124,1.6832529,0.20504779,1.1033796,0.097589664,0.31545466
57,35.0,35,20.861030265686043,0.5588235294117647,0.7301186,0.19098581,1.3505243,0.055586815,0.49588382
58,32.0,32,20.972419963029182,0.5483870967741935,0.6523703,0.2081653,1.6389949,0.08314258,0.4031834
59,19.0,19,20.952695763398893,0.7777777777777778,0.9468188,0.20245914,1.7747189,0.06460338,0.5921911
60,59.0,59,21.333168805764902,0.5172413793103449,0.95912915,0.20787169,1.8518333,0.04995023,0.4684521
61,31.0,31,21.42983711770725,0.6666666666666666,0.6189436,0.20861349,1.1451098,0.06342489,0.4804182
62,26.0,26,21.47553874653018,0.64,0.62793815,0.18465671,1.2910414,0.055657633,0.49772274
63,34.0,34,21.600783359064877,0.696969696969697,0.62659454,0.20850633,1.066667,0.09352947,0.393027
64,60.0,60,21.98477552547423,0.4745762711864407,0.876464,0.20784505,1.1629199,0.08421555,0.34150755
65,30.0,30,22.064927770219487,0.5172413793103449,0.7609911,0.20143248,1.0728308,0.11080082,0.3928568
66,18.0,18,22.024278492517293,0.5882352941176471,0.81761193,0.20137443,1.2880781,0.07770124,0.59678763
67,20.0,20,22.00403570759212,0.631578947368421,0.6492854,0.19172333,1.4990488,0.102334164,0.45732436
68,51.0,51,22.2939953505162,0.52,0.94297755,0.20478652,1.3472525,0.09697247,0.34384117
69,15.0,15,22.22105539701104,0.5,0.8053261,0.19392246,1.4711081,0.083819754,0.80079234
70,18.0,18,22.178844843040928,0.5294117647058824,0.8087446,0.2092855,1.2203869,0.09036295,0.699241
71,104.0,104,22.997056394610517,0.5048543689320388,1.5079124,0.20191292,1.2391025,0.06954114,0.35946324
72,25.0,25,23.017085830664413,0.5,0.63856643,0.1947685,1.0628144,0.10707797,0.48151726
73,52.0,52,23.30691497235777,0.7058823529411765,0.50596774,0.19822308,0.83555555,0.07868849,0.28878242
74,32.0,32,23.393845822634194,0.6129032258064516,0.97931784,0.1962867,1.7659495,0.06135404,0.4437971
75,43.0,43,23.589907364407853,0.5476190476190477,0.7389581,0.20853311,1.1284584,0.107445665,0.3268682
76,22.0,22,23.574008290763775,0.5238095238095238,0.5480138,0.19249791,0.8955492,0.09447619,0.46324062
77,39.0,39,23.728268207856136,0.5,0.9016827,0.2032034,1.0214299,0.13479872,0.41402414
78,42.0,42,23.910985525777576,0.5609756097560976,0.5267399,0.20001464,0.83165395,0.087243855,0.32257617
79,75.0,75,24.4218756705198,0.5540540540540541,1.1765269,0.18833144,1.0813447,0.08021248,0.35501546
80,53.0,53,24.707656913814603,0.6153846153846154,0.55090487,0.20866424,1.2438496,0.06630042,0.29620537
81,73.0,73,25.190580344676455,0.5694444444444444,0.75446606,0.20442858,0.8493827,0.072277404,0.2762407
82,16.0,16,25.09867454122969,0.3333333333333333,0.62928057,0.20895125,1.1734947,0.10937422,0.5765376
83,187.0,187,26.717687795817394,0.5645161290322581,1.5388907,0.20066726,1.133452,0.05747381,0.33719173
84,16.0,16,26.61051091785922,0.4,0.7744047,0.20153074,1.3037372,0.090410165,0.67369944
85,22.0,22,26.564405808680625,0.47619047619047616,1.0074672,0.17486015,1.826644,0.058824267,0.48291472
86,98.0,98,27.27876175059382,0.5567010309278351,2.2455373,0.1914359,1.3176515,0.08986807,0.36445597
87,13.0,13,27.13597413308788,0.75,0.6385105,0.20426409,1.1857069,0.10626735,0.680598
88,59.0,59,27.454614391757,0.46551724137931033,0.61085576,0.20384796,1.0510511,0.054467425,0.37229538
89,92.0,92,28.100068247839435,0.5164835164835165,2.0741763,0.20891699,1.2101965,0.1082028,0.3455181
90,44.0,44,28.25906756536104,0.5116279069767442,0.76507604,0.20808013,1.047287,0.07931973,0.35437578
